,topic,document
0,5_private_jets_cola_coca,world 's elite arrived hundreds private jets lecture climate change sponsored coca cola 
1,4_cop_today_due_work,friends partners allies great meet today 
2,-1_climate_minister_world_president,point maybe ask women help 
3,0_climate_must_change_world,climate change ravage planet without urgent action rishi sunak
4,0_climate_must_change_world,warned global leaders highway climate hell foot accelerator our planet fast approaching tipping points make climate chaos irreversible we need urgent 
5,5_private_jets_cola_coca,rich people flying private jets un talks sponsored coca cola give fossil fuel industry huge seat table criminalizing climate activists way stop irreversible catastrophic fossil fueled global heating 
6,5_private_jets_cola_coca,cop sponsored coca cola worlds top plastic polluter produce billion throwaway plastic bottles year 
7,5_private_jets_cola_coca, private jets world leaders flying climate summit discuss reduce carbon emission
8,3_alaa_strike_prison_water,brother last glass water prison please keep story alive 's saved this afternoon 'm flying sharm civil society pass egyptian regime claims civic space exists 'll testing 
9,1_egypt_climate_crisis_russia,egypt attend
10,1_egypt_climate_crisis_russia,incoming reports polish journalists business leaders plying ukrainian national anthem phones whenever spot group russians un climate summit starting egypt the russians arent happy 
11,-1_climate_minister_world_president,dude lecturing carbon footprint
12,-1_climate_minister_world_president,finally also great see keeping conservative tradition regular u turns 
13,-1_climate_minister_world_president,oliver dowden 's claim pm personally committed '' climate action ludicrous shamed going plans huge new oil gas extraction failed meet financial pledges climate vulnerable countries removed climate ministers cabinet
14,0_climate_must_change_world,pm credibility urges others keep glasgow commitments govt hasnt met finance pledges hasnt raised ambition uk emission cuts continuing fossil fuel subsidies wont rule new coal greenlighting oil gas
15,0_climate_must_change_world,made dramatic u turn giving toss climate change forced pretend give toss climate change 
16,0_climate_must_change_world,rishi sunak trumpets plan investing renewables '' plan includes banning onshore wind blocks new solar farms windfall tax gigantic loophole continued climate wrecking fossil fuel investment 
17,-1_climate_minister_world_president,hypocrisy 
18,-1_climate_minister_world_president,say 
19,-1_climate_minister_world_president,climate crisis fight lives losing but one thing certain give sure lose so lets fight together and lets win 
20,-1_climate_minister_world_president,man last row pm country suffered recently due climate change 
21,-1_climate_minister_world_president,dragged kicking screaming showing real leadership required home abroad weak wobbly prime minister day trip 
22,-1_climate_minister_world_president,simple effective message pakistan pavilion 
23,0_climate_must_change_world,earth rishi sunak claim 's delivering '' leadership '' 've seen climate ministers booted cabinet swathe new oil gas licences failure rule cumbria coal mine flip flopping even attending
24,0_climate_must_change_world,demands urgent action everyone renewables solution climate energy crises let 's accelerate energy transition 
25,0_climate_must_change_world,ed milibands climate reparations shows people like left lost marbles 
26,1_egypt_climate_crisis_russia,case missed egypt lit khafre pyramid one three ancient pyramids giza date back years ahead 
